title,publishedAt,duration,topic_categories,view_count,like_count,comment_count,tags,channel_title,playlist_name,playlist_ID,channel_ID,url
MIKA - Grace Kelly (Extended Version),2009-12-14,203,"['Pop_music', 'Rock_music']",39744405,244338.0,10786.0,"['MIKA', 'Casablanca', 'Records/Island', 'Pop', 'MIKA Grace Kelly (Extended Version)', 'Grace Kelly (Extended Version)', 'Grace Kelly', 'mika grace kelly', 'mica grace kelly', 'grace kelly music video', 'mika eurovision', 'mika eurovision host', 'mika eurovision host 2022', 'mika eurovision 2022', 'eurovision host 2022', 'eurovision host', 'grace kelly eurovision', 'grace kelly eurovision 2022', 'could be brown', 'could be blue', 'could be purple', 'could be violet sky', 'why']",MIKAVEVO,Remember 8,PL3vg9bEaC1nr9coYDm6Q_BqnjH1qHW0f-,UCbSZmyCsCMsMwCr3kHnTl6w,EaEPCsQ4608
Just Give Me a Reason,2015-08-28,243,['Pop_music'],113205663,878845.0,279.0,"['P!NK', 'ピンク', '紅粉佳人', 'Nate Ruess', 'The Truth About Love', 'Just Give Me a Reason']",P!nk - Topic,Remember 8,PL3vg9bEaC1nr9coYDm6Q_BqnjH1qHW0f-,UCUlTyoiUjykZj7ZReC0bF0g,a1pWN2ixeVY
MIKA - Love Today,2009-10-07,203,"['Pop_music', 'Rock_music']",52355479,269502.0,11155.0,"['MIKA', 'Pop', 'MIKA Love Today', 'mica love today', 'mika official video', 'love today music video', ""Everybody's gonna love today"", 'Anyway you want to', 'Anyway you’ve got to', 'Love love me', 'Shock shock me', 'noughties pop', 'mika eurovision', 'mika eurovision host', 'mika eurovision host 2022', 'mika eurovision 2022', 'eurovision host 2022', 'eurovision 2022', 'mika love today official music video']",MIKAVEVO,Remember 8,PL3vg9bEaC1nr9coYDm6Q_BqnjH1qHW0f-,UCbSZmyCsCMsMwCr3kHnTl6w,AWiccrTB4LM
"MIKA - Relax, Take It Easy",2009-12-23,236,['Pop_music'],144948515,1186195.0,31874.0,"['MIKA', 'Pop', 'MIKA Relax', 'Take It Easy', 'MIKA Relax Take It Easy', 'Relax Take It Easy', 'relax', 'mika take it easy', 'MIKA Relax Take It Easy lyric video', 'For there is nothing that we can do', 'Blame it on me or blame it on you', ""It's as if I'm scared"", ""It's as if I'm terrified"", 'Are you scared', 'Are we playing with fire?', 'mika eurovision', 'mika eurovision host', 'mika eurovision 2022', 'mika eurovision host 2022', 'mika eurovision live', 'mica', 'take']",MIKAVEVO,Remember 8,PL3vg9bEaC1nr9coYDm6Q_BqnjH1qHW0f-,UCbSZmyCsCMsMwCr3kHnTl6w,RVmG_d3HKBA
MIKA - Big Girl (You Are Beautiful),2009-11-23,190,['Pop_music'],36194783,218155.0,14307.0,"['MIKA', 'Pop', 'uk pop', 'mika pop', 'mika music', 'Big Girl (You Are Beautiful)', 'mika big girl', 'big girl song', 'body confidence', 'pop hits', 'noughties pop', 'noughties hit', 'eurovision host', 'mika eurovision 2022', 'mika eurovision host 2022', 'mika eurovision', 'mica', 'Walks in to the room', 'Feels like big balloon', 'you are beautiful']",MIKAVEVO,Remember 8,PL3vg9bEaC1nr9coYDm6Q_BqnjH1qHW0f-,UCbSZmyCsCMsMwCr3kHnTl6w,yDSK91mUNLU
09.Stuck in the Middle - Mika,2008-07-31,249,['Pop_music'],560685,2732.0,127.0,"['Pop', 'Stuck', 'in', 'the', 'Middle', 'Mika', 'Life', 'Cartoon', 'Motion']",Pinkgirlie1995,Remember 8,PL3vg9bEaC1nr9coYDm6Q_BqnjH1qHW0f-,UCZFN1LdjMnDzE0G6R1-q3qw,0soIRsrjLXo
MIKA - Happy Ending (Long Version),2009-11-23,220,['Pop_music'],40064916,163598.0,6740.0,"['MIKA', 'Casablanca', 'Pop', 'MIKA Happy Ending', 'Happy Ending', 'Happy Ending MIKA', 'Happy Ending official music video', 'Happy Ending remastered video', 'MIKA remastered', 'MIKA remastered videos', '#remastered', 'hd music videos', 'remastered music videos', 'Island']",MIKAVEVO,Remember 8,PL3vg9bEaC1nr9coYDm6Q_BqnjH1qHW0f-,UCbSZmyCsCMsMwCr3kHnTl6w,oFkSMHle8-M
MIKA - We Are Golden,2009-11-24,247,"['Pop_music', 'Rock_music']",44840922,237802.0,15489.0,"['MIKA', 'Pop', 'MIKA We Are Golden', 'we are golden', 'MIKA We Are Golden official music video', 'mika official video', 'we are golden mica', 'Teenage dreams in teenage circus', 'Running around like clown on purpose', 'Who gives damn about the family you come from', ""No giving up when you're young and you want some"", '(Running around again', 'Running from running', 'We are not what you think we are', 'mika eurovision', 'mika eurovision 2022', 'mika', 'eurovision', '2022']",MIKAVEVO,Remember 8,PL3vg9bEaC1nr9coYDm6Q_BqnjH1qHW0f-,UCbSZmyCsCMsMwCr3kHnTl6w,hEhutIEUq8k
Stay,2018-07-24,241,['Pop_music'],64763779,489252.0,328.0,"['Rihanna', 'リアーナ', 'Mikky Ekko', 'ミッキー･エッコ', 'Unapologetic', 'Stay']",Rihanna - Topic,Remember 8,PL3vg9bEaC1nr9coYDm6Q_BqnjH1qHW0f-,UCvWtix2TtWGe9kffqnwdaMw,2aLO6Ecof4s
Hey There Delilah,2018-07-26,233,['Pop_music'],55223085,614385.0,3035.0,"[""Plain White T's"", 'プレインホワイトティーズ', 'プレイン・ホワイト・ティーズ', 'All That We Needed', 'Hey There Delilah']",Plain White T's - Topic,Remember 8,PL3vg9bEaC1nr9coYDm6Q_BqnjH1qHW0f-,UCy4q3Mhtp7l1e06PvtT1j2g,oEeet9t--tI
Perfect,2017-03-03,264,"['Christian_music', 'Pop_music']",271977782,2484297.0,3250.0,"['Ed Sheeran', '÷', 'Perfect']",Ed Sheeran - Topic,Remember 8,PL3vg9bEaC1nr9coYDm6Q_BqnjH1qHW0f-,UClmXPfaYhXOYsNn_QUyheWQ,ORrFJ63nlcA
Burn,2022-10-11,232,"['Electronic_music', 'Pop_music']",19524868,136306.0,22.0,"['Ellie Goulding', 'エリーゴールディング', 'エリー・ゴールディング', 'Halcyon Nights', 'Burn', 'バーン']",Ellie Goulding - Topic,Remember 8,PL3vg9bEaC1nr9coYDm6Q_BqnjH1qHW0f-,UCZSxBlUEOKgXkzaj_VlBLlg,Yw-vvxnG9Y4
Someone Like You,2015-08-12,286,"['Pop_music', 'Soul_music']",80027462,540042.0,485.0,"['Adele', '21', 'Someone Like You']",Adele - Topic,Remember 8,PL3vg9bEaC1nr9coYDm6Q_BqnjH1qHW0f-,UCRw0x9_EfawqmgDI2IgQLLg,XqoanTj5pNY
Underwater,2019-01-09,192,['Pop_music'],363002,3610.0,2.0,"['MIKA', 'ミーカ', 'The Origin Of Love', 'Underwater', 'アンダーウォーター']",MIKA - Topic,Remember 8,PL3vg9bEaC1nr9coYDm6Q_BqnjH1qHW0f-,UCuvYmaUR4lpW7kWmgCUpfqA,itjrxQ16C9E
Photograph,2015-08-07,259,['Pop_music'],156383239,1215877.0,3234.0,"['Ed Sheeran', 'x', 'Photograph']",Ed Sheeran - Topic,Remember 8,PL3vg9bEaC1nr9coYDm6Q_BqnjH1qHW0f-,UClmXPfaYhXOYsNn_QUyheWQ,SlbfAYvA_gI
Maneater,2018-07-20,259,"['Hip_hop_music', 'Pop_music']",66897201,462119.0,411.0,"['Nelly Furtado', 'ネリーファータド', 'ネリー・ファータド', 'Loose', 'Maneater', 'マンイーター']",Nelly Furtado - Topic,Remember 8,PL3vg9bEaC1nr9coYDm6Q_BqnjH1qHW0f-,UCWV94Z763GSdhLQ8WIb2JRQ,nVq_Gua4wsQ
Regulate,2018-12-13,249,['Hip_hop_music'],66630952,795926.0,554.0,"['Warren G', 'ウォーレンジー', 'ウォーレンG', 'Nate Dogg', 'ネイトドツグ', 'Regulate… G Funk Era', 'Regulate', 'レギュレイト']",Warren G - Topic,Remember 8,PL3vg9bEaC1nr9coYDm6Q_BqnjH1qHW0f-,UCdVRxxZs3-ZP7lNso5lO2RQ,a02YJhCeTQk
The Next Episode,2018-07-28,162,['Hip_hop_music'],76904556,837920.0,361.0,"['Dr. Dre', 'ドクタードレー', 'ドクター・ドレー', 'Snoop Dogg', 'スヌープドッグ', 'スヌープ・ドッグ', '2001', 'The Next Episode', 'ネクストエピソード', 'ザ・ネクスト・エピソード']",Dr. Dre - Topic,Remember 8,PL3vg9bEaC1nr9coYDm6Q_BqnjH1qHW0f-,UC1g7JmTw4Gv8W9YINg3M1FA,nL2HPPHdPAA
Changes,2018-10-19,269,['Hip_hop_music'],51728375,566987.0,1135.0,"['2Pac', 'トゥパツク', '2パック', 'Talent', 'タレント', 'Greatest Hits', 'Changes', 'チェンジズ']",2Pac - Topic,Remember 8,PL3vg9bEaC1nr9coYDm6Q_BqnjH1qHW0f-,UC5RrGzC-JXglhFW5NhT4r6w,xg3J5slvB-k
What Goes Around... /... Comes Around (Interlude),2017-02-19,449,"['Hip_hop_music', 'Pop_music']",92877238,573781.0,1718.0,"['Justin Timberlake', 'ジャスティンティンバーレイク', '賈斯汀', 'FutureSex/LoveSounds Deluxe Edition', 'What Goes Around.../...Comes Around (Interlude)']",Justin Timberlake - Topic,Remember 8,PL3vg9bEaC1nr9coYDm6Q_BqnjH1qHW0f-,UC6VwktUsQQDCkHG1h6YftAQ,bxBiTm7vtCs
I Know What You Want,2015-09-23,325,['Hip_hop_music'],53053877,641322.0,332.0,"['Busta Rhymes', '巴斯達韻', 'Mariah Carey', 'MARIAH CAREY', 'マライアキャリー', '瑪麗亞凱莉', 'Flipmode Squad', ""It Ain't Safe No More. . ."", 'I Know What You Want']",Busta Rhymes - Topic,Remember 8,PL3vg9bEaC1nr9coYDm6Q_BqnjH1qHW0f-,UCaSeNTljGkpoj1ijhs72nag,qjzNsIYHIns
Do For Love,2018-07-30,282,"['Hip_hop_music', 'Pop_music', 'Rhythm_and_blues']",78511208,778337.0,3163.0,"['2Pac', 'トゥパツク', '2パック', 'R U Still Down? [Remember Me]', 'Do For Love']",2Pac - Topic,Remember 8,PL3vg9bEaC1nr9coYDm6Q_BqnjH1qHW0f-,UC5RrGzC-JXglhFW5NhT4r6w,Y2cWHiKaFjc
California Love (Original Version),2018-10-19,285,['Hip_hop_music'],56247212,660835.0,452.0,"['2Pac', 'トゥパツク', '2パック', 'Roger Troutman', 'ロジヤー', 'Dr. Dre', 'ドクタードレー', 'ドクター・ドレー', 'Greatest Hits', 'California Love', 'カリフォルニアラブ', 'カリフォルニア・ラヴ']",2Pac - Topic,Remember 8,PL3vg9bEaC1nr9coYDm6Q_BqnjH1qHW0f-,UC5RrGzC-JXglhFW5NhT4r6w,LRt6TdSvHag
Let Me Blow Ya Mind,2018-07-26,231,"['Hip_hop_music', 'Pop_music', 'Soul_music']",55734688,691593.0,375.0,"['Eve', 'イブ', 'イヴ', 'Gwen Stefani', 'グウェンステファニー', 'グウェン・ステファニー', 'Scorpion', 'Let Me Blow Ya Mind', 'レットミーブロウユアマインド', 'レット・ミー・ブロウ・ユア・マインド']",Eve - Topic,Remember 8,PL3vg9bEaC1nr9coYDm6Q_BqnjH1qHW0f-,UCDp8r3R9SpxXicOlUWFlj0w,5EPJgyX7rvI
The Way I Are,2018-07-31,180,"['Hip_hop_music', 'Pop_music']",58828519,506228.0,708.0,"['Timbaland', 'ティンバランド', 'Keri Hilson', 'ケリーヒルソン', 'ケリー・ヒルソン', 'D.O.E.', 'デイオーイー', 'D．O．E．', 'Shock Value', 'The Way I Are', 'ザ・ウェイ・アイ・アーｆｅａｔ．', 'ケリ・ヒルソン＆Ｄ．Ｏ．Ｅ．', 'ザ・ウェイ・アイ・アーfeat. ケリ・ヒルソン＆D.O.E.']",Timbaland - Topic,Remember 8,PL3vg9bEaC1nr9coYDm6Q_BqnjH1qHW0f-,UCStR3TnjvL7CL8ZNFPKmRXw,iM6iO8TD3tM
In Da Club,2018-07-21,194,['Hip_hop_music'],71664619,577969.0,406.0,"['50 Cent', 'フィフティセント', '50セント', ""Get Rich Or Die Tryin'"", 'In Da Club']",50 Cent - Topic,Remember 8,PL3vg9bEaC1nr9coYDm6Q_BqnjH1qHW0f-,UCOcnYBwT1jb6EHlS0cwhNkA,_VXUiAJi5KY
Turn Me On,2017-07-25,193,"['Music_of_Latin_America', 'Pop_music', 'Reggae']",24620869,220882.0,668.0,"['Kevin Lyttle', 'Turn Me On']",Kevin Lyttle - Topic,Remember 8,PL3vg9bEaC1nr9coYDm6Q_BqnjH1qHW0f-,UCL7jBVAZrmbdZtB5BCt5_mw,8pCof_57WVI
Payphone,2018-12-12,232,"['Hip_hop_music', 'Pop_music']",92209410,696587.0,1086.0,"['Maroon 5', 'マルーンファイブ', 'マルーン5', 'Wiz Khalifa', 'ウィズカリファ', 'ウィズ・カリファ', 'Overexposed', 'Payphone', 'ペイフォン']",Maroon 5 - Topic,Remember 8,PL3vg9bEaC1nr9coYDm6Q_BqnjH1qHW0f-,UCdFe4KkWwZ_twpo-UECR-Nw,smKgVuSB18k
My Boo,2017-01-09,224,"['Hip_hop_music', 'Pop_music', 'Rhythm_and_blues', 'Soul_music']",139748522,1066750.0,4367.0,"['Usher', 'アッシャー', '亞瑟小子', 'Alicia Keys', 'アリシアキーズ', '艾莉西亞凱斯', 'Confessions (Expanded Edition)', 'My Boo']",Usher - Topic,Remember 8,PL3vg9bEaC1nr9coYDm6Q_BqnjH1qHW0f-,UCILuIcqzJMtkxCmftNVjNBQ,EDxR5OzuKgE
Womanizer,2017-01-25,225,['Pop_music'],58361099,459443.0,905.0,"['Britney Spears', 'ブリトニースピアーズ', '布蘭妮', 'Circus (Deluxe Version)', 'Womanizer']",Britney Spears - Topic,Remember 8,PL3vg9bEaC1nr9coYDm6Q_BqnjH1qHW0f-,UCIOdfgVAkc_8rxhRAz9WRDw,x9xQZQn-3ok
Mad,2018-07-26,255,"['Music_of_Asia', 'Pop_music', 'Rhythm_and_blues', 'Soul_music']",26053322,266780.0,372.0,"['Ne-Yo', 'ニーヨ', 'NE-YO', 'Year Of The Gentleman', 'Mad', 'マッド']",Ne-Yo - Topic,Remember 8,PL3vg9bEaC1nr9coYDm6Q_BqnjH1qHW0f-,UCOHN2Rba82QVQTLJ3Gumx_g,eoTh9nsjgeU
One In A Million,2018-07-26,244,"['Hip_hop_music', 'Music_of_Asia', 'Pop_music', 'Rhythm_and_blues', 'Soul_music']",9731643,96040.0,99.0,"['Ne-Yo', 'ニーヨ', 'NE-YO', 'Libra Scale', 'One In A Million', 'ワン・イン・ア・ミリオン']",Ne-Yo - Topic,Remember 8,PL3vg9bEaC1nr9coYDm6Q_BqnjH1qHW0f-,UCOHN2Rba82QVQTLJ3Gumx_g,vcPabhBp8BU
