title,publishedAt,duration,topic_categories,view_count,like_count,comment_count,tags,channel_title,playlist_name,channel_ID,playlist_ID,url
LIFELIKE - Heatwave,2011-05-10,486,['Electronic_music'],829917,8450.0,425.0,"['the', 'road', 'warrior', 'lifelike', 'heatwave']",Luis Quintana,🔥 TWITCH - ROSHTEIN,UCqu323qBUg8w0QJ6PfU4rCw,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,b8D2is5P6Tw
Disco Circus,2016-06-16,392,['NaN'],32392,502.0,6.0,"['Todd', 'Terje', 'The', 'Olsens', 'Big', 'Cover-Up', 'Disco', 'Circus']",Todd Terje - Topic,🔥 TWITCH - ROSHTEIN,UC0IiRfiEDA0GLLMufhUUOng,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,wwuoI4Vo6E4
Going Down South,2018-08-11,330,"['Electronic_music', 'Pop_music']",16288,178.0,10.0,"['Adani & Wolf', 'The Irresistible Dust On the Floor', 'Going Down South']",Adani & Wolf - Topic,🔥 TWITCH - ROSHTEIN,UCDXKRNhV62cHIdxyb22rQtQ,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,vWzZvKpIRuU
Waiting For Love,2018-10-30,231,"['Electronic_music', 'Pop_music']",119783085,917141.0,685.0,"['Avicii', 'アビーチー', 'アヴィーチー', 'Stories', 'Waiting For Love', 'ウェイティングフォーラブ', 'ウェイティング・フォー・ラヴ']",Avicii - Topic,🔥 TWITCH - ROSHTEIN,UCuACQmW04T3v9Mz_1_suFYw,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,iR1sAex__VA
He Not In,2017-06-15,512,['Electronic_music'],9302,202.0,1.0,"['Chicken Lips', 'He Not In']",Chicken Lips - Topic,🔥 TWITCH - ROSHTEIN,UC-AEUKLuagIOxq5JBL4M2PQ,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,esSif4_kx7g
Relax (7” Mix),2017-02-09,237,['NaN'],63716,1385.0,4.0,"['Frankie', 'Goes', 'To', 'Hollywood', 'Relax']",Frankie Goes To Hollywood - Topic,🔥 TWITCH - ROSHTEIN,UC7X7CKd4-aLnn0yfJw6sRjg,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,4DCz5uQyINU
Praise You,2017-02-08,325,['NaN'],1197245,14195.0,45.0,"['Fat Boy Slim', ""You've Come a Long Way Baby"", 'Praise You']",Fatboy Slim - Topic,🔥 TWITCH - ROSHTEIN,UCNekatqy_ys1SX8NfjpwixA,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,p8CSvIdsU7o
Outta My Head,2018-06-14,292,['Electronic_music'],18420,257.0,1.0,"['Moe Turk', 'DJ Fuzzy', 'Ayman Nageeb Deeper At Night', 'Vol. 13 Outta My Head']",Moe Turk - Topic,🔥 TWITCH - ROSHTEIN,UCV_Yy7oH28D-Gzdq5O3gjmQ,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,tgVfggNSzkY
Viol,2020-01-16,344,['Electronic_music'],3558954,69109.0,169.0,"['Gesaffelstein', 'Conspiracy Pt.2', 'Viol']",Gesaffelstein - Topic,🔥 TWITCH - ROSHTEIN,UCq7VAQmXDurV-9VN2bSFXvw,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,qYG0tKyz0lo
Blue Tuesday,2019-05-22,386,['Electronic_music'],38101,752.0,2.0,"['Delphi', 'Unleashed Tapes Vol. 1', 'Blue Tuesday']",Various Artists - Topic,🔥 TWITCH - ROSHTEIN,UCRkRlk5BMze7QNWaD6rzQSw,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,VOe2QHQ6Gvg
The Power Of Love,2017-02-11,235,['Pop_music'],18128979,213398.0,972.0,"['Huey Lewis & The News', 'ヒューイルイスアンドザニュース', 'ヒューイ・ルイス＆ザ・ニュース', 'Greatest Hits: Huey Lewis And The News', 'The Power Of Love', 'パワーオブラブ', 'パワー・オブ・ラヴ']",Huey Lewis - Topic,🔥 TWITCH - ROSHTEIN,UCiLTL-mnxJDss_nOG-wyTxQ,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,wIiVp3poe2c
Why Did You Do It (Filtertypen Remix),2013-12-01,395,"['Electronic_music', 'Hip_hop_music', 'Pop_music']",2183,32.0,2.0,"['Ferry Ultra', 'Ashley Slater', 'Why Did You Do It (Remixes)', 'Why Did You Do It (Filtertypen Remix)']",Ferry Ultra - Topic,🔥 TWITCH - ROSHTEIN,UC00r81efglfusKFCb0HBPwQ,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,pyiv52P7nac
Heart Upon My Sleeve,2019-06-06,255,"['Electronic_music', 'Pop_music']",2632461,30966.0,141.0,"['Avicii', 'アビーチー', 'アヴィーチー', 'Imagine Dragons', 'イマジンドラゴンズ', 'イマジン・ドラゴンズ', 'TIM', 'Heart Upon My Sleeve', 'ハートアポンマイスリーブ']",Avicii - Topic,🔥 TWITCH - ROSHTEIN,UCuACQmW04T3v9Mz_1_suFYw,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,V-5Q9wAktz0
Ocean Drive,2018-07-31,207,"['Electronic_music', 'Pop_music']",79939222,574736.0,167.0,"['Duke Dumont', 'Blasé Boys Club', 'Ocean Drive', 'オーシャン・ドライヴ']",Duke Dumont - Topic,🔥 TWITCH - ROSHTEIN,UCmOc5q8hTHMhurRJE5wDb0Q,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,dmaE78oaVLg
Children of Love,2018-06-15,336,['Electronic_music'],21,0.0,0.0,"['Paji Pawjan Faroch aka Paji We Get Deeper', 'Vol. 19 Children of Love']",Paji - Topic,🔥 TWITCH - ROSHTEIN,UCaOV2HjEBAjEozr19t4b-tw,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,45i2Zpz8maI
Beautiful Girl,2018-07-31,354,['Electronic_music'],1011401,13358.0,5.0,"['Junge Junge', 'Kyle Pearce', 'Beautiful Girl - EP', 'Beautiful Girl']",Junge Junge - Topic,🔥 TWITCH - ROSHTEIN,UCRTo4L9drhaNumZhDKCM51Q,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,B1DTM291DjU
If You Only Knew,2018-06-22,382,['NaN'],7968,480.0,0.0,"['Finnebassen', 'Purobeach Volumen Nueve (Compiled & Mixed by Ben Sowton & Graham Sahara)', 'If You Only Knew']",Finnebassen - Topic,🔥 TWITCH - ROSHTEIN,UCK8FuWZqL50_NsTZNsiUFng,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,hWAGVgqjDO0
Touching Me,2018-06-14,381,['Electronic_music'],704350,5701.0,6.0,"['Finnebassen Second Chances and New Romances', 'Vol. 4 Touching Me']",Finnebassen - Topic,🔥 TWITCH - ROSHTEIN,UCK8FuWZqL50_NsTZNsiUFng,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,ZAYW2OzavCc
Together Now (Instrumental Mix),2014-05-26,323,"['Electronic_music', 'Pop_music']",435,11.0,1.0,"['Tube', 'Berger', 'present', 'Juliet', 'Sikora', 'Together', 'Now']",Tube & Berger - Topic,🔥 TWITCH - ROSHTEIN,UC8EDPMxer2q6AZa7wr_9NaQ,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,0UOLD1uHS4c
Sense of You,2014-07-21,351,['Electronic_music'],16467,268.0,0.0,"['Jay West', 'Manuel Sahagun', 'Cody Chesnutt', 'Sense of You']",Jay West - Topic,🔥 TWITCH - ROSHTEIN,UCrSFJpHPfrTgUwDZ83XnydQ,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,_CAc123Fl2A
Endless Summer,2015-05-30,281,['Electronic_music'],5047,65.0,2.0,"['Ahmet Kilic', 'Endless Summer Remixes', 'Endless Summer (Radio Mix)']",Ahmet Kilic - Topic,🔥 TWITCH - ROSHTEIN,UCdHyzRZSVw7cUBC25dMWMpQ,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,yGbcJT_KsCc
Ganesa,2018-08-10,277,"['Electronic_music', 'Pop_music']",34770,380.0,0.0,"['The', 'RuDS', 'M.Caballero', 'Miami', '2015', 'Ganesa']",The RuDS - Topic,🔥 TWITCH - ROSHTEIN,UCCcQo3_NKO9sR4sMr0Xspwg,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,xDzNi3UI8tQ
Jafar (Original Mix),2017-07-06,498,['Electronic_music'],88789,1573.0,4.0,"['Elfenberg', 'Agrabah', 'Jafar (Original Mix)']",Elfenberg - Topic,🔥 TWITCH - ROSHTEIN,UCYyFgad0GUVmaAEU2oGoZQQ,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,mT75Uav3Jmw
Metropolis (Original Mix),2016-06-02,360,['NaN'],45347,786.0,1.0,"['DAVI', 'Metropolis EP', 'Metropolis (Original Mix)']",Davi - Topic,🔥 TWITCH - ROSHTEIN,UC1SDd03DRcQTNDt6bb9I8tw,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,sQGSH6jJYRE
Ecclesiastical,2019-06-13,457,['Electronic_music'],11920,239.0,1.0,"['Elfenberg', 'Antrea', 'Ecclesiastical']",Elfenberg - Topic,🔥 TWITCH - ROSHTEIN,UCYyFgad0GUVmaAEU2oGoZQQ,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,5Cjv60Hqob8
Inflagranti,2017-03-18,343,['Electronic_music'],4490,111.0,0.0,"['Zebra Centauri', 'Tough Young Guys', 'Inflagranti']",Zebra Centauri - Topic,🔥 TWITCH - ROSHTEIN,UCX95OfSDTcHtnChNohi4yNw,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,UhqpNJ_ul-4
Eridanus (Elfenberg Remix),2018-03-04,516,['Electronic_music'],16868,333.0,0.0,"['Yvel & Tristan', 'Eridanus', 'Eridanus (Elfenberg Remix)']",Yvel & Tristan - Topic,🔥 TWITCH - ROSHTEIN,UCYEjhMDdes8DDqEXw9qVlUw,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,bT0V6_ZhkQ4
Gaivota,2018-06-23,424,['Electronic_music'],23132,427.0,0.0,"['Elfenberg', 'Continents', 'Gaivota']",Elfenberg - Topic,🔥 TWITCH - ROSHTEIN,UCYyFgad0GUVmaAEU2oGoZQQ,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,QKp_4sibTHI
Iago (Original Mix),2017-07-06,505,['Electronic_music'],35144,648.0,0.0,"['Elfenberg', 'Agrabah', 'Iago (Original Mix)']",Elfenberg - Topic,🔥 TWITCH - ROSHTEIN,UCYyFgad0GUVmaAEU2oGoZQQ,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,MGhqmnALpkc
Niv (Original Mix),2017-11-18,409,[],754277,12110.0,11.0,"['Geju', 'Niv', '(Remixes)', '(Original', 'Mix)']",Geju - Topic,🔥 TWITCH - ROSHTEIN,UCqSZPcR2c_I_Z0aAlOs7Y4g,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,9fvNi6OmAbU
Bayaka,2016-03-27,421,['Electronic_music'],465410,7314.0,6.0,"['Berg', 'Aurora', 'Bayaka']",Berg - Topic,🔥 TWITCH - ROSHTEIN,UC8upJV39jZbH1f59fI0Smdw,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,vjRqFHJSs-s
Ida Corr vs Fedde Le Grand Let Me Think About It,2007-10-06,286,"['Electronic_music', 'Pop_music']",129830866,641495.0,13180.0,"['Ida', 'Corr', 'vs', 'Fedde', 'Le', 'Grand', 'Let', 'Me', 'Think', 'About', 'It', 'VJ', 'Optique', 'Extended', 'Version', 'Remix']",iMarkDD,🔥 TWITCH - ROSHTEIN,UCLsefnbKXISE8IBodIPvxCA,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,19WUwZYM7bM
Drifting Away (Paradiso Remix),2015-07-30,407,"['Classical_music', 'Electronic_music', 'Pop_music']",21188,368.0,1.0,"['Faithless', '無信念合唱團', 'Reverence / Irreverence', 'Drifting Away']",Faithless - Topic,🔥 TWITCH - ROSHTEIN,UCHIi254Otz38TYgnEsUgfNg,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,WHRmROME1EM
"Clubbed to Death (from ""The Matrix"")",2016-04-23,244,"['Electronic_music', 'Hip_hop_music']",99470,2282.0,2.0,"['Robert', 'Superhero', 'vs', 'Sci-Fi', '(The', 'Ultimate', 'Film', 'Trailer', 'Soundtrack)', 'Clubbed', 'to', 'Death', '(from', 'The', 'Matrix)']",Robert D - Topic,🔥 TWITCH - ROSHTEIN,UCnlQr0H6k18qjfJuuGCgNeg,PLZulYW8dQheMW2XrSAbfov2bk9ez0urzc,KwVbcjJYctM
